id;name;release;memory;gpuclock;memoryclock;price
510;GeForce GTX 2448;2033;6674;394;3026;7183
511;GeForce GTX 2449;2034;4791;407;3238;16770
512;GeForce GTX 2450;2035;5448;408;4426;17110
513;GeForce GTX 2451;2036;6177;2966;4742;2221
514;GeForce GTX 2452;2037;9175;1549;1688;5306
515;GeForce GTX 2453;2038;6005;2024;1396;9747
516;GeForce GTX 2454;2039;6769;706;945;7507
517;GeForce GTX 2455;2040;5346;1483;2404;4851
518;GeForce GTX 2456;2041;7148;2540;2451;15610
519;GeForce GTX 2457;2042;980;429;475;5767
520;GeForce GTX 2458;2043;6483;2601;3746;10571
521;GeForce GTX 2459;2044;2766;602;4504;11461
522;GeForce GTX 2460;2045;6262;2996;3197;555
523;GeForce GTX 2461;2046;753;1994;1825;14403
524;GeForce GTX 2462;2047;1449;1837;2186;15983
525;GeForce GTX 2463;2048;2959;2048;4079;19698
526;GeForce GTX 2464;2049;5826;1310;4357;4863
527;GeForce GTX 2465;2050;1538;1135;2885;7721
528;GeForce GTX 2466;2051;9817;1305;1650;15661
529;GeForce GTX 2467;2052;4117;647;1933;6520
530;GeForce GTX 2468;2053;8995;415;1827;18153
531;GeForce GTX 2469;2054;8821;516;995;12173
532;GeForce GTX 2470;2055;3697;963;782;15964
533;GeForce GTX 2471;2056;4942;158;2630;1295
534;GeForce GTX 2472;2057;4599;554;1583;14297
535;GeForce GTX 2473;2058;783;2770;535;3989
536;GeForce GTX 2474;2059;2596;1658;2182;18560
537;GeForce GTX 2475;2060;8318;428;3170;12067
538;GeForce GTX 2476;2061;7232;1903;4879;4700
539;GeForce GTX 2477;2062;8472;1308;3487;15593
540;GeForce GTX 2478;2063;7472;313;3352;3975
541;GeForce GTX 2479;2064;8336;1983;3240;1790
542;GeForce GTX 2480;2065;5437;710;775;11227
543;GeForce GTX 2481;2066;3722;2642;3454;2158
544;GeForce GTX 2482;2067;4699;1671;2999;2859
545;GeForce GTX 2483;2068;1433;168;2844;10625
546;GeForce GTX 2484;2069;2622;2462;566;3030
547;GeForce GTX 2485;2070;4972;2830;4056;6518
548;GeForce GTX 2486;2071;3099;1238;3223;4226
549;GeForce GTX 2487;2072;4403;530;2635;9948
550;GeForce GTX 2488;2073;1976;1340;988;7000
551;GeForce GTX 2489;2074;1823;2898;1651;19524
552;GeForce GTX 2490;2075;1428;2755;472;7328
553;GeForce GTX 2491;2076;7831;2780;693;9371
554;GeForce GTX 2492;2077;5647;186;4520;5836
555;GeForce GTX 2493;2078;8768;2341;2599;14456
556;GeForce GTX 2494;2079;8859;2127;2466;4319
557;GeForce GTX 2495;2080;4530;617;4941;1776
558;GeForce GTX 2496;2081;833;244;2076;19715
559;GeForce GTX 2497;2082;1920;234;1233;12869
560;GeForce GTX 2498;2083;961;948;3433;17490
561;GeForce GTX 2499;2084;3998;676;1456;13715
562;GeForce GTX 2500;2085;667;1747;1297;13570
563;GeForce GTX 2501;2086;7005;1968;3241;8096
564;GeForce GTX 2502;2087;595;2148;1468;15994
565;GeForce GTX 2503;2088;7335;2228;612;6357
566;GeForce GTX 2504;2089;857;960;4747;2797
567;GeForce GTX 2505;2090;9372;1857;707;5978
568;GeForce GTX 2506;2091;1707;2361;2626;8206
569;GeForce GTX 2507;2092;5640;1278;1967;15500
570;GeForce GTX 2508;2093;9986;718;864;517
571;GeForce GTX 2509;2094;432;2404;4535;1983
572;GeForce GTX 2510;2095;6269;733;4157;5555
573;GeForce GTX 2511;2096;5019;670;4160;3986
574;GeForce GTX 2512;2097;4010;1637;4986;13451
575;GeForce GTX 2513;2098;3363;1821;3688;11225
576;GeForce GTX 2514;2099;7645;606;2385;17898
577;GeForce GTX 2515;2100;577;2396;747;6633
578;GeForce GTX 2516;2101;1859;1205;4994;13921
579;GeForce GTX 2517;2102;4298;852;4940;16638
580;GeForce GTX 2518;2103;8782;2147;1299;12588
581;GeForce GTX 2519;2104;2822;137;2951;14085
582;GeForce GTX 2520;2105;8868;2413;3749;10348
583;GeForce GTX 2521;2106;5998;1169;734;4983
584;GeForce GTX 2522;2107;396;2036;3090;14121
585;GeForce GTX 2523;2108;8384;1515;4657;10104
586;GeForce GTX 2524;2109;3446;322;3013;17525
587;GeForce GTX 2525;2110;1741;214;4174;8020
588;GeForce GTX 2526;2111;3496;1764;3812;14412
589;GeForce GTX 2527;2112;7740;1681;2019;8484
590;GeForce GTX 2528;2113;4593;2490;2063;14432
591;GeForce GTX 2529;2114;6349;1285;3178;13737
592;GeForce GTX 2530;2115;613;426;1954;18692
593;GeForce GTX 2531;2116;8348;1568;4114;6363
594;GeForce GTX 2532;2117;1866;365;1681;4809
595;GeForce GTX 2533;2118;5475;2682;1605;5872
596;GeForce GTX 2534;2119;450;2393;1125;13295
597;GeForce GTX 2535;2120;1981;2918;1949;19889
598;GeForce GTX 2536;2121;8196;264;3080;15966
599;GeForce GTX 2537;2122;480;2148;2422;3071
600;GeForce GTX 2538;2123;4853;404;2299;8558
601;GeForce GTX 2539;2124;2798;2962;4761;6713
602;GeForce GTX 2540;2125;4051;1900;3747;11153
603;GeForce GTX 2541;2126;475;657;4174;5430
604;GeForce GTX 2542;2127;3829;2623;4066;14509
605;GeForce GTX 2543;2128;7761;323;3320;4917
606;GeForce GTX 2544;2129;3972;2492;1238;19614
607;GeForce GTX 2545;2130;2813;2574;3117;11163
608;GeForce GTX 2546;2131;3586;1393;379;12510
609;GeForce GTX 2547;2132;8208;1802;1214;3017
610;GeForce GTX 2548;2133;715;206;2698;9771
611;GeForce GTX 2549;2134;6911;1976;427;13744
612;GeForce GTX 2550;2135;9624;2843;1261;16091
613;GeForce GTX 2551;2136;4874;2305;1184;4521
614;GeForce GTX 2552;2137;5313;2990;393;19315
615;GeForce GTX 2553;2138;3188;249;4752;1197
616;GeForce GTX 2554;2139;4619;2216;913;11531
617;GeForce GTX 2555;2140;4317;2413;2955;4414
618;GeForce GTX 2556;2141;7259;1122;4230;3171
619;GeForce GTX 2557;2142;6968;2528;4346;4890
620;GeForce GTX 2558;2143;7983;1548;4148;6273
621;GeForce GTX 2559;2144;3095;2182;1425;1411
622;GeForce GTX 2560;2145;4815;1821;2732;6938
623;GeForce GTX 2561;2146;9816;2678;3043;19768
624;GeForce GTX 2562;2147;401;1879;1861;9176
625;GeForce GTX 2563;2148;7035;384;2553;12868
626;GeForce GTX 2564;2149;8403;2960;3681;10095
627;GeForce GTX 2565;2150;2266;2009;2598;13802
628;GeForce GTX 2566;2151;3576;322;3170;3124
629;GeForce GTX 2567;2152;2721;138;1136;4818
630;GeForce GTX 2568;2153;2517;2597;2066;8432
631;GeForce GTX 2569;2154;333;872;4336;10138
632;GeForce GTX 2570;2155;9013;2566;3516;9597
633;GeForce GTX 2571;2156;2930;679;3766;2455
634;GeForce GTX 2572;2157;4609;1335;2606;992
635;GeForce GTX 2573;2158;8269;504;2696;12861
636;GeForce GTX 2574;2159;4404;2494;4687;7713
637;GeForce GTX 2575;2160;1518;2155;3996;5698
638;GeForce GTX 2576;2161;9539;2054;4118;3618
639;GeForce GTX 2577;2162;9982;361;2807;10853
640;GeForce GTX 2578;2163;1399;1730;2984;4130
641;GeForce GTX 2579;2164;8673;776;689;18031
642;GeForce GTX 2580;2165;8226;1691;2715;10184
643;GeForce GTX 2581;2166;2718;2187;2357;4564
644;GeForce GTX 2582;2167;997;2124;1533;18847
645;GeForce GTX 2583;2168;8344;2121;1005;16350
646;GeForce GTX 2584;2169;1759;2186;4179;9819
647;GeForce GTX 2585;2170;1368;2715;1958;17014
648;GeForce GTX 2586;2171;5873;1552;3282;3968
649;GeForce GTX 2587;2172;6891;1169;1356;10720
650;GeForce GTX 2588;2173;8843;2867;3507;12179
651;GeForce GTX 2589;2174;9533;2679;4333;2828
652;GeForce GTX 2590;2175;8032;1350;2025;15503
653;GeForce GTX 2591;2176;2554;2260;1143;11545
654;GeForce GTX 2592;2177;7270;1264;2458;2773
655;GeForce GTX 2593;2178;8743;657;1389;892
656;GeForce GTX 2594;2179;4160;2868;4464;10821
657;GeForce GTX 2595;2180;1120;1530;3666;1781
658;GeForce GTX 2596;2181;7647;769;4656;3093
659;GeForce GTX 2597;2182;4877;1923;364;16977
660;GeForce GTX 2598;2183;7123;1698;4585;3670
661;GeForce GTX 2599;2184;4423;144;4486;13276
662;GeForce GTX 2600;2185;2429;1628;1637;13938
663;GeForce GTX 2601;2186;5660;1651;4482;5708
664;GeForce GTX 2602;2187;9591;1401;3646;19860
665;GeForce GTX 2603;2188;8098;1102;1234;742
666;GeForce GTX 2604;2189;3246;1345;896;18249
667;GeForce GTX 2605;2190;3755;290;1278;8255
668;GeForce GTX 2606;2191;850;1705;1456;8380
669;GeForce GTX 2607;2192;4477;1409;763;17191
670;GeForce GTX 2608;2193;1199;1923;1335;6815
671;GeForce GTX 2609;2194;9553;2603;1660;3316
672;GeForce GTX 2610;2195;8007;1261;839;2258
673;GeForce GTX 2611;2196;6396;1608;4273;6486
674;GeForce GTX 2612;2197;863;963;4240;13918
675;GeForce GTX 2613;2198;4571;555;3202;8429
676;GeForce GTX 2614;2199;6923;1751;1696;18279
677;GeForce GTX 2615;2200;3139;2735;3719;12839
678;GeForce GTX 2616;2201;633;276;2712;12868
679;GeForce GTX 2617;2202;2462;1251;1140;7706
680;GeForce GTX 2618;2203;4695;2386;4175;15185
681;GeForce GTX 2619;2204;1646;2459;1051;8281
682;GeForce GTX 2620;2205;8188;2387;2052;8923
683;GeForce GTX 2621;2206;5438;480;3578;13094
684;GeForce GTX 2622;2207;5278;1137;1946;6045
685;GeForce GTX 2623;2208;966;762;4523;3045
686;GeForce GTX 2624;2209;6859;219;4247;3093
687;GeForce GTX 2625;2210;8665;2243;3512;18702
688;GeForce GTX 2626;2211;3648;2198;834;5757
689;GeForce GTX 2627;2212;322;1826;2718;3230
690;GeForce GTX 2628;2213;7595;2191;4969;8877
691;GeForce GTX 2629;2214;3798;1028;1311;10066
692;GeForce GTX 2630;2215;4231;1021;4401;6235
693;GeForce GTX 2631;2216;4319;870;4671;9318
694;GeForce GTX 2632;2217;1665;1668;4626;19535
695;GeForce GTX 2633;2218;6678;2141;3693;6453
696;GeForce GTX 2634;2219;8342;1023;3108;14425
697;GeForce GTX 2635;2220;7815;1125;4374;12101
698;GeForce GTX 2636;2221;5944;1490;2622;3849
699;GeForce GTX 2637;2222;6773;239;4098;9129
700;GeForce GTX 2638;2223;3435;2436;4591;14049
701;GeForce GTX 2639;2224;9065;1204;1002;14705
702;GeForce GTX 2640;2225;8922;590;4339;1580
703;GeForce GTX 2641;2226;3035;2088;2842;19592
704;GeForce GTX 2642;2227;7133;2920;4284;19569
705;GeForce GTX 2643;2228;1500;1257;1249;10384
706;GeForce GTX 2644;2229;4407;2866;3156;5046
707;GeForce GTX 2645;2230;8711;304;2050;8535
708;GeForce GTX 2646;2231;8346;1946;1016;6742
709;GeForce GTX 2647;2232;4438;240;2047;19355
710;GeForce GTX 2648;2233;5384;2780;826;1036
711;GeForce GTX 2649;2234;810;1277;2038;9939
712;GeForce GTX 2650;2235;1651;1882;412;19527
713;GeForce GTX 2651;2236;5845;1627;3802;15530
714;GeForce GTX 2652;2237;7494;1841;943;4543
715;GeForce GTX 2653;2238;3374;1522;3130;17139
716;GeForce GTX 2654;2239;4939;1325;1566;14146
717;GeForce GTX 2655;2240;6450;847;3937;18286
718;GeForce GTX 2656;2241;3790;2215;1020;7313
719;GeForce GTX 2657;2242;5215;1010;4770;16187
720;GeForce GTX 2658;2243;7607;1726;4226;12393
721;GeForce GTX 2659;2244;4675;2336;3431;15232
722;GeForce GTX 2660;2245;3108;2087;876;5720
723;GeForce GTX 2661;2246;9059;195;1144;9759
724;GeForce GTX 2662;2247;1589;2759;1808;7946
725;GeForce GTX 2663;2248;3796;261;1112;5561
726;GeForce GTX 2664;2249;5799;370;4371;15610
727;GeForce GTX 2665;2250;1176;316;4141;19310
728;GeForce GTX 2666;2251;5261;743;1467;14025
729;GeForce GTX 2667;2252;1260;1007;2411;5295
730;GeForce GTX 2668;2253;8423;1889;4374;2314
731;GeForce GTX 2669;2254;7996;882;4497;8743
732;GeForce GTX 2670;2255;8510;1470;1910;15489
733;GeForce GTX 2671;2256;5287;854;726;5195
734;GeForce GTX 2672;2257;8916;734;4440;13397
735;GeForce GTX 2673;2258;8161;1829;2826;13081
736;GeForce GTX 2674;2259;5635;921;2634;5268
737;GeForce GTX 2675;2260;792;1832;1304;7644
738;GeForce GTX 2676;2261;7082;2006;969;18496
739;GeForce GTX 2677;2262;8221;2311;4515;4685
740;GeForce GTX 2678;2263;8639;1278;3550;5835
741;GeForce GTX 2679;2264;4073;422;3861;19736
742;GeForce GTX 2680;2265;1072;1138;1478;15950
743;GeForce GTX 2681;2266;1216;632;2295;12551
744;GeForce GTX 2682;2267;1540;2616;3989;736
745;GeForce GTX 2683;2268;5923;2711;681;8250
746;GeForce GTX 2684;2269;2799;681;2799;12926
747;GeForce GTX 2685;2270;7633;2506;2393;3639
748;GeForce GTX 2686;2271;2537;240;3877;15343
749;GeForce GTX 2687;2272;301;2939;2626;13324
750;GeForce GTX 2688;2273;1422;1231;2962;1647
751;GeForce GTX 2689;2274;3805;246;1014;13194
752;GeForce GTX 2690;2275;6288;2692;1336;8062
753;GeForce GTX 2691;2276;6985;483;3888;15238
754;GeForce GTX 2692;2277;3596;411;1801;7190
755;GeForce GTX 2693;2278;6292;535;3535;12100
756;GeForce GTX 2694;2279;8163;2384;882;9261
757;GeForce GTX 2695;2280;4702;2042;4327;6355
758;GeForce GTX 2696;2281;3279;2612;3456;9431
759;GeForce GTX 2697;2282;3003;1848;3219;15342
760;GeForce GTX 2698;2283;1728;2898;3695;6949
761;GeForce GTX 2699;2284;2435;356;4986;6583
762;GeForce GTX 2700;2285;1840;408;2231;14810
763;GeForce GTX 2701;2286;1623;1529;3056;14471
764;GeForce GTX 2702;2287;1354;2044;3874;10893
765;GeForce GTX 2703;2288;9588;478;4249;10220
766;GeForce GTX 2704;2289;9299;2577;2531;1064
767;GeForce GTX 2705;2290;4393;694;2189;13932
768;GeForce GTX 2706;2291;2926;2471;2637;14905
769;GeForce GTX 2707;2292;8234;667;2155;5141
770;GeForce GTX 2708;2293;3348;2162;3962;19699
771;GeForce GTX 2709;2294;7899;121;4978;18010
772;GeForce GTX 2710;2295;3430;558;2541;17901
773;GeForce GTX 2711;2296;5670;2722;3606;15205
774;GeForce GTX 2712;2297;659;2948;3161;3943
775;GeForce GTX 2713;2298;8798;1338;561;9185
776;GeForce GTX 2714;2299;767;2748;4703;10903
777;GeForce GTX 2715;2300;2247;2075;4751;1969
778;GeForce GTX 2716;2301;447;1425;4330;19774
779;GeForce GTX 2717;2302;6319;2930;1597;9124
780;GeForce GTX 2718;2303;9443;157;1310;18160
781;GeForce GTX 2719;2304;9161;1473;1121;12098
782;GeForce GTX 2720;2305;7651;1401;2693;12490
783;GeForce GTX 2721;2306;8618;494;1255;15318
784;GeForce GTX 2722;2307;5799;2349;2148;791
785;GeForce GTX 2723;2308;2373;236;1815;18975
786;GeForce GTX 2724;2309;4838;1827;3751;9366
787;GeForce GTX 2725;2310;5211;2379;3100;3559
788;GeForce GTX 2726;2311;4429;1802;4869;19528
789;GeForce GTX 2727;2312;1795;362;4818;13387
790;GeForce GTX 2728;2313;7786;2703;3051;1889
791;GeForce GTX 2729;2314;8424;1221;1710;18250
792;GeForce GTX 2730;2315;7854;2057;3385;2297
793;GeForce GTX 2731;2316;7135;813;1163;11208
794;GeForce GTX 2732;2317;6416;1973;3607;18378
795;GeForce GTX 2733;2318;9721;310;867;11540
796;GeForce GTX 2734;2319;5922;642;1096;2845
797;GeForce GTX 2735;2320;3888;1962;3010;19045
798;GeForce GTX 2736;2321;672;266;4213;3895
799;GeForce GTX 2737;2322;9978;1549;3244;15726
800;GeForce GTX 2738;2323;9903;2882;2643;1373
801;GeForce GTX 2739;2324;1835;672;1143;10254
802;GeForce GTX 2740;2325;783;305;4808;16697
803;GeForce GTX 2741;2326;9341;2273;2090;14347
804;GeForce GTX 2742;2327;2453;2198;1761;17696
805;GeForce GTX 2743;2328;7261;586;1298;16504
806;GeForce GTX 2744;2329;326;1292;4580;13496
807;GeForce GTX 2745;2330;2361;1350;3637;16853
808;GeForce GTX 2746;2331;6526;1721;4987;14279
809;GeForce GTX 2747;2332;5188;1054;782;19110
810;GeForce GTX 2748;2333;5237;2039;4169;5675
811;GeForce GTX 2749;2334;7253;127;3802;16290
812;GeForce GTX 2750;2335;2808;996;1955;15299
813;GeForce GTX 2751;2336;5832;2025;4743;3862
814;GeForce GTX 2752;2337;6352;2864;3375;7256
815;GeForce GTX 2753;2338;4248;160;2641;13477
816;GeForce GTX 2754;2339;3635;1674;1446;19372
817;GeForce GTX 2755;2340;7859;1845;4290;15874
818;GeForce GTX 2756;2341;917;1440;571;14664
819;GeForce GTX 2757;2342;500;2968;1070;12345
820;GeForce GTX 2758;2343;7537;1231;1882;17913
821;GeForce GTX 2759;2344;6803;738;697;3212
822;GeForce GTX 2760;2345;6110;151;3830;15482
823;GeForce GTX 2761;2346;3986;1408;4537;1843
824;GeForce GTX 2762;2347;5096;197;629;7712
825;GeForce GTX 2763;2348;3908;2357;2401;12322
826;GeForce GTX 2764;2349;3169;2278;3514;15876
827;GeForce GTX 2765;2350;2337;1371;495;19300
828;GeForce GTX 2766;2351;8835;669;3499;2289
829;GeForce GTX 2767;2352;2160;2114;2551;17420
830;GeForce GTX 2768;2353;909;1041;3915;13288
831;GeForce GTX 2769;2354;4596;1798;2149;2322
832;GeForce GTX 2770;2355;2165;303;1266;7508
833;GeForce GTX 2771;2356;3565;1724;2013;15169
834;GeForce GTX 2772;2357;3086;2503;1106;14949
835;GeForce GTX 2773;2358;7370;2455;2252;17872
836;GeForce GTX 2774;2359;4033;387;2369;14586
837;GeForce GTX 2775;2360;4547;2087;2150;9020
838;GeForce GTX 2776;2361;3918;2402;4996;9392
839;GeForce GTX 2777;2362;2885;1658;878;5875
840;GeForce GTX 2778;2363;5269;2886;3606;15648
841;GeForce GTX 2779;2364;2532;227;2707;5527
842;GeForce GTX 2780;2365;3895;1739;1116;15808
843;GeForce GTX 2781;2366;1904;1951;4096;7668
844;GeForce GTX 2782;2367;4162;2165;4648;1225
845;GeForce GTX 2783;2368;7234;2343;4878;7073
846;GeForce GTX 2784;2369;502;264;1447;13110
847;GeForce GTX 2785;2370;3348;398;3707;10257
848;GeForce GTX 2786;2371;5158;811;3814;4815
849;GeForce GTX 2787;2372;4470;793;3490;14253
850;GeForce GTX 2788;2373;700;1358;3519;2175
851;GeForce GTX 2789;2374;3039;2165;2533;17891
852;GeForce GTX 2790;2375;8089;681;4718;10424
853;GeForce GTX 2791;2376;6056;156;695;14419
854;GeForce GTX 2792;2377;7524;2949;3564;7337
855;GeForce GTX 2793;2378;6819;1635;1651;9939
856;GeForce GTX 2794;2379;3536;2761;2631;12946
857;GeForce GTX 2795;2380;339;1772;1971;2579
858;GeForce GTX 2796;2381;334;2611;1357;18358
859;GeForce GTX 2797;2382;1055;293;4581;11977
860;GeForce GTX 2798;2383;4058;199;303;12660
861;GeForce GTX 2799;2384;9686;2337;4198;19610
862;GeForce GTX 2800;2385;4534;245;3505;5645
863;GeForce GTX 2801;2386;6867;123;472;3121
864;GeForce GTX 2802;2387;1114;895;2276;14066
865;GeForce GTX 2803;2388;1433;2861;2672;5079
866;GeForce GTX 2804;2389;2064;1524;2351;10639
867;GeForce GTX 2805;2390;8350;493;2284;18176
868;GeForce GTX 2806;2391;7433;2799;1203;12505
869;GeForce GTX 2807;2392;7665;1409;916;11781
870;GeForce GTX 2808;2393;1547;1044;383;16714
871;GeForce GTX 2809;2394;3971;835;4601;5550
872;GeForce GTX 2810;2395;5339;2162;898;15132
873;GeForce GTX 2811;2396;6414;1793;3155;6193
874;GeForce GTX 2812;2397;9998;1501;1215;11057
875;GeForce GTX 2813;2398;9664;1995;4743;10078
876;GeForce GTX 2814;2399;8260;133;4714;12738
877;GeForce GTX 2815;2400;5334;1745;4873;3829
878;GeForce GTX 2816;2401;3026;1184;3794;8116
879;GeForce GTX 2817;2402;6073;2578;3026;2698
880;GeForce GTX 2818;2403;1086;755;3882;1247
881;GeForce GTX 2819;2404;8753;2920;1718;640
882;GeForce GTX 2820;2405;2039;2483;4141;5524
883;GeForce GTX 2821;2406;8259;852;3285;7794
884;GeForce GTX 2822;2407;3726;930;4108;17877
885;GeForce GTX 2823;2408;9975;2147;1729;6298
886;GeForce GTX 2824;2409;3268;2230;1273;12772
887;GeForce GTX 2825;2410;7605;2215;1823;11364
888;GeForce GTX 2826;2411;5601;1268;4995;8235
889;GeForce GTX 2827;2412;7414;343;3320;12752
890;GeForce GTX 2828;2413;5008;118;2580;19642
891;GeForce GTX 2829;2414;1054;1033;3819;17155
892;GeForce GTX 2830;2415;5451;1267;4093;11062
893;GeForce GTX 2831;2416;632;1080;4685;10284
894;GeForce GTX 2832;2417;5606;2865;1221;5122
895;GeForce GTX 2833;2418;4117;1655;4278;13624
896;GeForce GTX 2834;2419;5003;1640;1927;15246
897;GeForce GTX 2835;2420;8220;1382;4143;14521
898;GeForce GTX 2836;2421;4921;1257;3245;8909
899;GeForce GTX 2837;2422;544;176;2776;5031
900;GeForce GTX 2838;2423;6372;1612;1889;19284
901;GeForce GTX 2839;2424;3306;1008;2800;3044
902;GeForce GTX 2840;2425;612;2100;4567;9012
903;GeForce GTX 2841;2426;1281;979;3997;1819
904;GeForce GTX 2842;2427;3259;1653;1052;11149
905;GeForce GTX 2843;2428;3852;1846;1852;8647
906;GeForce GTX 2844;2429;5720;2977;3781;17891
907;GeForce GTX 2845;2430;9757;1913;477;2781
908;GeForce GTX 2846;2431;7838;2228;3998;4047
909;GeForce GTX 2847;2432;3979;311;4159;17365
910;GeForce GTX 2848;2433;500;519;2157;1858
911;GeForce GTX 2849;2434;9893;403;1058;1672
912;GeForce GTX 2850;2435;4314;2512;2851;10654
913;GeForce GTX 2851;2436;5260;514;1479;1199
914;GeForce GTX 2852;2437;2992;1425;1801;1997
915;GeForce GTX 2853;2438;3541;976;4407;6573
916;GeForce GTX 2854;2439;8796;945;560;17891
917;GeForce GTX 2855;2440;8056;1799;969;15671
918;GeForce GTX 2856;2441;7336;2669;4147;16739
919;GeForce GTX 2857;2442;4313;2982;592;15429
920;GeForce GTX 2858;2443;329;1807;4294;3005
921;GeForce GTX 2859;2444;721;175;1287;9952
922;GeForce GTX 2860;2445;4786;1727;3921;8754
923;GeForce GTX 2861;2446;3376;1819;2970;1403
924;GeForce GTX 2862;2447;1619;1145;3158;12722
925;GeForce GTX 2863;2448;6941;2079;712;5554
926;GeForce GTX 2864;2449;3280;2833;738;2411
927;GeForce GTX 2865;2450;2879;1390;4619;14422
928;GeForce GTX 2866;2451;9083;2350;1077;16956
929;GeForce GTX 2867;2452;4165;1477;3295;8549
930;GeForce GTX 2868;2453;370;1495;1184;11003
931;GeForce GTX 2869;2454;9261;1254;4875;7183
932;GeForce GTX 2870;2455;2294;260;829;13862
933;GeForce GTX 2871;2456;1945;479;2282;17937
934;GeForce GTX 2872;2457;8373;1022;4441;13672
935;GeForce GTX 2873;2458;8701;1961;2438;15819
936;GeForce GTX 2874;2459;940;1907;3459;13971
937;GeForce GTX 2875;2460;9290;849;1099;11559
938;GeForce GTX 2876;2461;2795;690;2030;5689
939;GeForce GTX 2877;2462;3067;969;644;9078
940;GeForce GTX 2878;2463;387;2562;4745;10457
941;GeForce GTX 2879;2464;6120;1829;1578;15621
942;GeForce GTX 2880;2465;8907;1588;2903;5635
943;GeForce GTX 2881;2466;8779;888;2223;15910
944;GeForce GTX 2882;2467;2792;2920;3303;17500
945;GeForce GTX 2883;2468;7184;2530;4181;16419
946;GeForce GTX 2884;2469;460;2970;1915;6502
947;GeForce GTX 2885;2470;7501;1729;2338;2708
948;GeForce GTX 2886;2471;6529;683;4318;6929
949;GeForce GTX 2887;2472;4917;1312;2461;17926
950;GeForce GTX 2888;2473;7177;1890;601;604
951;GeForce GTX 2889;2474;8959;693;3249;14705
952;GeForce GTX 2890;2475;9365;1105;2002;15496
953;GeForce GTX 2891;2476;5913;2256;1152;18554
954;GeForce GTX 2892;2477;5688;634;325;16950
955;GeForce GTX 2893;2478;3964;1360;2486;14461
956;GeForce GTX 2894;2479;2192;1104;1640;6481
957;GeForce GTX 2895;2480;1214;1094;876;6901
958;GeForce GTX 2896;2481;3996;2604;605;1473
959;GeForce GTX 2897;2482;3064;396;905;3149
960;GeForce GTX 2898;2483;6022;1145;4823;11181
961;GeForce GTX 2899;2484;9353;2353;3871;1770
962;GeForce GTX 2900;2485;1158;705;407;9671
963;GeForce GTX 2901;2486;9769;2787;4829;2675
964;GeForce GTX 2902;2487;1085;2185;355;18270
965;GeForce GTX 2903;2488;6037;2180;1570;17763
966;GeForce GTX 2904;2489;9790;2656;1595;3353
967;GeForce GTX 2905;2490;8440;1594;3811;16551
968;GeForce GTX 2906;2491;9785;954;4374;8464
969;GeForce GTX 2907;2492;7356;553;4042;13686
970;GeForce GTX 2908;2493;5320;2409;3711;4405
971;GeForce GTX 2909;2494;1398;1578;4336;15324
972;GeForce GTX 2910;2495;3927;1172;1019;18643
973;GeForce GTX 2911;2496;2932;753;2964;9979
974;GeForce GTX 2912;2497;2745;242;1015;8099
975;GeForce GTX 2913;2498;6866;1866;2928;8792
976;GeForce GTX 2914;2499;453;570;3213;10467
977;GeForce GTX 2915;2500;5821;2899;1499;12705
978;GeForce GTX 2916;2501;9283;1544;1564;7516
979;GeForce GTX 2917;2502;5247;2175;3440;10551
980;GeForce GTX 2918;2503;3698;1010;3484;10266
981;GeForce GTX 2919;2504;2184;1343;972;9894
982;GeForce GTX 2920;2505;984;320;2440;11388
983;GeForce GTX 2921;2506;6343;1109;898;6623
984;GeForce GTX 2922;2507;872;2399;1193;19087
985;GeForce GTX 2923;2508;6618;865;2346;11561
986;GeForce GTX 2924;2509;6520;2107;2185;1426
987;GeForce GTX 2925;2510;3058;776;1398;7071
988;GeForce GTX 2926;2511;5023;716;3046;5222
989;GeForce GTX 2927;2512;9753;656;4302;4101
990;GeForce GTX 2928;2513;3946;633;1889;16611
991;GeForce GTX 2929;2514;8071;977;1156;15751
992;GeForce GTX 2930;2515;935;533;879;7625
993;GeForce GTX 2931;2516;9743;2712;2745;15968
994;GeForce GTX 2932;2517;2703;1622;4999;13844
995;GeForce GTX 2933;2518;3781;1391;3487;2992
996;GeForce GTX 2934;2519;1166;2070;2962;7740
997;GeForce GTX 2935;2520;2217;2411;420;1481
998;GeForce GTX 2936;2521;8318;188;3966;16434
999;GeForce GTX 2937;2522;7637;1326;1352;2110
1000;GeForce GTX 2938;2523;2968;203;4247;17777
1001;GeForce GTX 2939;2524;694;1057;1582;14915
1002;GeForce GTX 2940;2525;6259;748;1134;9771
1003;GeForce GTX 2941;2526;7866;258;2096;3030
1004;GeForce GTX 2942;2527;3761;2713;2578;15188
1005;GeForce GTX 2943;2528;4742;425;408;15579
1006;GeForce GTX 2944;2529;668;2621;3351;16402
1007;GeForce GTX 2945;2530;1753;2105;4878;4063
1008;GeForce GTX 2946;2531;7552;1926;4396;9329
1009;GeForce GTX 2947;2532;9031;206;4558;5187
1010;GeForce GTX 2948;2533;7690;2486;4287;10176
1011;GeForce GTX 2949;2534;8348;1259;4014;13385
1012;GeForce GTX 2950;2535;2485;1402;505;2765
1013;GeForce GTX 2951;2536;5897;1905;821;7304
1014;GeForce GTX 2952;2537;8814;1260;3933;576
1015;GeForce GTX 2953;2538;6016;2233;2895;18002
1016;GeForce GTX 2954;2539;3443;2811;4701;7479
1017;GeForce GTX 2955;2540;7599;2011;1184;8802
1018;GeForce GTX 2956;2541;4472;1169;3350;10760
